Account,Source Account,Text,Time,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
CBS News,-,"Howard Schultz, who helped build Starbucks into a global food industry powerhouse, is stepping down as executive ch… https://t.co/WvYBv290r1",2018-06-04 16:00:01-05:00,0.0,0.0,0.0,1.0,18
CBS News,-,Facebook under new scrutiny after report says it provided extensive information about its users and their friends t… https://t.co/wcB9ToziOV,2018-06-04 15:45:25-05:00,0.4767,0.147,0.0,0.853,19
CBS News,-,"On Monday morning, Pres. Trump tweeted that ""it’s the “best economy &amp; jobs EVER"" -- but is it actually? Here's a CB… https://t.co/wFN9M3YJGi",2018-06-04 15:14:37-05:00,0.0,0.0,0.0,1.0,20
CBS News,-,"White House physician Ronny Jackson is being investigated by Defense Department inspector general, office's spokesm… https://t.co/CMmC29tz2x",2018-06-04 14:59:51-05:00,0.128,0.091,0.0,0.909,21
CBS News,-,"On @TheTalkCBS, Sara Gilbert says that canceling ""Roseanne"" was the right decision for ABC; ""it's sad to see it end… https://t.co/oydOcrXqAZ",2018-06-04 14:44:51-05:00,-0.4767,0.0,0.134,0.866,22
CBS News,-,It's National Cheese Day. Are you a cheddar or feta lover? Do you prefer gouda or mozzarella? Here are 7 cheesy fac… https://t.co/CGP5Uslcdu,2018-06-04 14:30:09-05:00,0.6322,0.172,0.0,0.828,23
CBS News,-,This valedictorian read a Trump quote during his graduation speech and the crowd erupted with applause. Then he int… https://t.co/YfDYjRbdNe,2018-06-04 14:14:35-05:00,0.4215,0.135,0.0,0.865,24
CBS News,-,".@PaulaReidCBS on process for granting pardons prior to Trump administration: ""Right now, there's concern that many… https://t.co/wgqlGIPKPk",2018-06-04 14:07:49-05:00,0.5423,0.231,0.0,0.769,25
CBS News,-,"Reporter to @PressSec on Trump lawyers' letter to Mueller: ""You literally said he did not dictate [Donald Trump Jr.… https://t.co/ODYrkECO9p",2018-06-04 14:01:09-05:00,0.0,0.0,0.0,1.0,26
CBS News,-,"Reporter: ""Does the president believe he is above the law?""
@PressSec: ""Certainly not. The president hasn't done an… https://t.co/ieGIVYLqPq",2018-06-04 13:53:02-05:00,0.34,0.118,0.0,0.882,27
CBS News,-,".@PressSec says WH is ""certainly looking into the matter"" after congressional transcripts reveal that aide to EPA's… https://t.co/VNCBic8JZY",2018-06-04 13:51:41-05:00,0.3612,0.179,0.0,0.821,28
CBS News,-,"WATCH LIVE: ""Thankfully, the president hasn't done anything wrong, and wouldn't have any need for a pardon,""… https://t.co/kaYES9c3Xg",2018-06-04 13:47:04-05:00,0.3724,0.138,0.0,0.862,29
CBS News,-,"Toys ""R"" Us gave out millions in executive bonuses a week before filing bankruptcy, but isn't paying severance to t… https://t.co/ajPFnxar7j",2018-06-04 13:29:56-05:00,0.3182,0.108,0.0,0.892,30
CBS News,-,Photo of firefighter cradling little girl after car accident goes viral https://t.co/LVmL2aTfpx https://t.co/vlS4mvofDb,2018-06-04 13:15:02-05:00,-0.4767,0.0,0.205,0.795,31
CBS News,-,"At least 33 people are confirmed dead in Guatemala volcano eruption, but the toll is expected to rise further, disa… https://t.co/rTm79INTmW",2018-06-04 12:59:36-05:00,-0.3919,0.0,0.117,0.883,32
CBS News,-,"MONDAY MOMENT OF ZEN: Miles away from the workweek grind, a mother badger in Montana keeps a close eye on her cub.… https://t.co/FTCVp19NJI",2018-06-04 12:45:13-05:00,0.0,0.0,0.0,1.0,33
CBS News,-,Saudi Arabia issues the first driving licenses to 10 women as it prepares to lift the world's only ban on women dri… https://t.co/AOYsZ3ydX3,2018-06-04 12:32:04-05:00,-0.5574,0.0,0.141,0.859,34
CBS News,-,"Scott Pruitt asked an EPA aide to track down a used mattress from the Trump Hotel, she says in interview with congr… https://t.co/nAL2St9Vbg",2018-06-04 12:04:45-05:00,0.0,0.0,0.0,1.0,35
CBS News,-,"Parkland sheriff's deputy, who was widely criticized for standing outside Stoneman Douglas building as shooting occ… https://t.co/CLvY7N2msy",2018-06-04 11:51:37-05:00,-0.3612,0.0,0.135,0.865,36
CBS News,-,"Sen. Jeff Merkley (D-OR) tried to visit an immigration detention facility in Texas, but was denied access into the… https://t.co/leuci0sZGL",2018-06-04 11:35:01-05:00,-0.6808,0.0,0.237,0.763,37
CBS News,-,Crowd cheers when valedictorian quotes Trump. Then he reveals it was really Obama https://t.co/g40LUlPYqs https://t.co/tHQzqOhxLT,2018-06-04 11:29:39-05:00,0.4767,0.181,0.0,0.819,38
CBS News,-,Americans owe more credit card debt now than during the financial crisis. Here are 5 simple tips for paying down th… https://t.co/5MB0vUdrb2,2018-06-04 11:20:19-05:00,-0.6086,0.104,0.247,0.648,39
CBS News,-,"Suspect linked to killings of four Phoenix-area professionals found dead in hotel room, police say… https://t.co/N4hYhS2o6B",2018-06-04 11:14:55-05:00,-0.9001,0.0,0.458,0.542,40
CBS News,-,"This blind dachshund had a habit of running into things, until a pit bull came along and became his personal guide… https://t.co/cOXspivf7C",2018-06-04 11:01:09-05:00,-0.4019,0.0,0.124,0.876,41
CBS News,-,"SCOTUS setting aside Colorado court ruling against baker who wouldn't make wedding cake for same-sex couple, but do… https://t.co/D9x1fMSsBl",2018-06-04 10:49:29-05:00,0.0,0.0,0.0,1.0,42
CBS News,-,Supreme Court sides with President Trump in pregnant immigrant teen case https://t.co/LlUjT6As2o https://t.co/Mv9nhNDMpp,2018-06-04 10:29:31-05:00,0.5574,0.231,0.0,0.769,43
CBS News,-,Blind dachshund and the pit bull who acts as his guide have found a forever home together https://t.co/T3r0TSBZfT https://t.co/rvvrAQWo46,2018-06-04 10:27:16-05:00,-0.4019,0.0,0.137,0.863,44
CBS News,-,"""Obviously the investigation is on going. We have a deceased suspect at this point, the primary person we were look… https://t.co/sQM90NmYWE",2018-06-04 10:25:45-05:00,-0.296,0.0,0.104,0.896,45
